(0, 44, 1.0)
(0, 636, 3.0)
(0, 815, 2.0)
(0, 1178, 1.0)
(0, 1306, 1.0)
(0, 1416, 1.0)
(0, 1598, 2.0)
(0, 1662, 36.0)
(0, 1755, 48.0)
(0, 1797, 1.0)
(0, 2272, 2.0)
(0, 2632, 1.0)
(0, 2809, 5.0)
(0, 2813, 2.0)
(0, 2940, 5.0)
(0, 2979, 1.0)
(0, 3081, 163.0)
(0, 3091, 5.0)
(0, 3289, 4.0)
(0, 3292, 1.0)
(0, 3383, 10.0)
(0, 3479, 1.0)
(0, 3771, 1.0)
(0, 4154, 1.0)
(0, 4596, 2.0)
(0, 4618, 1.0)
(0, 5270, 2.0)
(0, 5413, 4.0)
(1, 2026, 2.0)
(1, 2457, 1.0)
(1, 3049, 1.0)
(1, 5238, 1.0)
(1, 5632, 4.0)
(2, 145, 4.0)
(2, 190, 1.0)
(2, 195, 2.0)
(2, 209, 2.0)
(2, 250, 1.0)
(2, 315, 1.0)
(2, 461, 1.0)
(2, 514, 2.0)
(2, 525, 1.0)
(2, 576, 10.0)
(2, 649, 1.0)
(2, 730, 2.0)
(2, 856, 1.0)
(2, 863, 1.0)
(2, 866, 2.0)
(2, 903, 3.0)
(2, 1215, 1.0)
(2, 1258, 1.0)
(2, 1418, 4.0)
(2, 1568, 8.0)
(2, 1592, 2.0)
(2, 1594, 30.0)
(2, 1725, 1.0)
(2, 1845, 2.0)
(2, 1878, 2.0)
(2, 1977, 1.0)
(2, 1990, 1.0)
(2, 2011, 1.0)
(2, 2018, 11.0)
(2, 2243, 7.0)
(2, 2364, 1.0)
(2, 2382, 1.0)
(2, 2462, 1.0)
(2, 2585, 1.0)
(2, 2630, 3.0)
(2, 2656, 2.0)
(2, 2746, 1.0)
(2, 2756, 2.0)
(2, 2773, 4.0)
(2, 2857, 3.0)
(2, 2975, 3.0)
(2, 3000, 1.0)
(2, 3004, 2.0)
(2, 3070, 1.0)
(2, 3196, 2.0)
(2, 3227, 1.0)
(2, 3327, 6.0)
(2, 3336, 2.0)
(2, 3421, 1.0)
(2, 3429, 2.0)
(2, 3546, 1.0)
(2, 3596, 1.0)
(2, 3606, 1.0)
(2, 3652, 1.0)
(2, 3675, 4.0)
(2, 3677, 4.0)
(2, 3835, 1.0)
(2, 3846, 1.0)
(2, 3942, 1.0)
(2, 3948, 1.0)
(2, 3960, 5.0)
(2, 4101, 1.0)
(2, 4131, 1.0)
(2, 4272, 2.0)
(2, 4311, 1.0)
(2, 4382, 3.0)
(2, 4441, 1.0)
(2, 4463, 2.0)
(2, 4618, 1.0)
(2, 4822, 1.0)
(2, 4876, 1.0)
(2, 4895, 1.0)
(2, 4921, 4.0)
(2, 4933, 2.0)
(2, 5009, 2.0)
(2, 5233, 1.0)
(2, 5253, 1.0)
(2, 5305, 1.0)
(2, 5373, 11.0)
(2, 5384, 2.0)
(2, 5507, 1.0)
(2, 5631, 4.0)
(2, 5766, 1.0)
(3, 180, 2.0)
(3, 217, 3.0)
(3, 236, 4.0)
(3, 250, 2.0)
(3, 256, 4.0)
(3, 273, 1.0)
(3, 345, 2.0)
(3, 426, 1.0)
(3, 455, 4.0)
(3, 526, 2.0)
(3, 583, 1.0)
(3, 671, 1.0)
(3, 737, 1.0)
(3, 866, 1.0)
(3, 903, 2.0)
(3, 1062, 2.0)
(3, 1067, 1.0)
(3, 1156, 1.0)
(3, 1195, 1.0)
(3, 1219, 1.0)
(3, 1305, 1.0)
(3, 1429, 1.0)
(3, 1462, 4.0)
(3, 1568, 2.0)
(3, 1569, 1.0)
(3, 1575, 1.0)
(3, 1625, 2.0)
(3, 1671, 2.0)
(3, 1785, 3.0)
(3, 1805, 1.0)
(3, 1910, 2.0)
(3, 1934, 1.0)
(3, 1948, 1.0)
(3, 2018, 1.0)
(3, 2056, 1.0)
(3, 2171, 1.0)
(3, 2257, 2.0)
(3, 2270, 1.0)
(3, 2285, 6.0)
